Tweet,Keyword,tweet_lowercase,tweet_without_stopwords,tweet_stemmed
"Colombia prez declares an ""economic, social &amp; ecological emergency"" as victims of Mocoa landslide are laid to rest ",emergency,"colombia prez declares an ""economic, social &amp; ecological emergency"" as victims of mocoa landslide are laid to rest ","colombia prez declares `` economic , social & amp ; ecological emergency '' victims mocoa landslide laid rest","colombia prez declar `` econom , social & amp ; ecolog emerg `` victim mocoa landslid laid rest"
Tourism Ministry called an emergency meeting with key stakeholders to prevent the possible spread of multi-million dollar insurance scams involving bogus rescues ,emergency,tourism ministry called an emergency meeting with key stakeholders to prevent the possible spread of multi-million dollar insurance scams involving bogus rescues ,tourism ministry called emergency meeting key stakeholders prevent possible spread multi-million dollar insurance scams involving bogus rescues,tourism ministri call emerg meet key stakehold prevent possibl spread multi-million dollar insur scam involv bogu rescu
"Covid-19 exposes a governance crisis On the pretext of the emergency, the government moved to procure medical supplies from a shady private company. Read opinion by @DrAchyutWagle ",emergency,"covid-19 exposes a governance crisis on the pretext of the emergency, the government moved to procure medical supplies from a shady private company. read opinion by @drachyutwagle ","covid-19 exposes governance crisis pretext emergency , government moved procure medical supplies shady private company . read opinion @ drachyutwagle","covid-19 expos govern crisi pretext emerg , govern move procur medic suppli shadi privat compani . read opinion @ drachyutwagl"
Nearly two weeks into the lockdown and the Kathmandu Metropolitan City has not yet completed collecting the details of the poor and the vulnerable people who are in a dire need of an emergency relief package.  — by @AnupOjha7,emergency,nearly two weeks into the lockdown and the kathmandu metropolitan city has not yet completed collecting the details of the poor and the vulnerable people who are in a dire need of an emergency relief package.  — by @anupojha7,nearly two weeks lockdown kathmandu metropolitan city yet completed collecting details poor vulnerable people dire need emergency relief package . — @ anupojha7,nearli two week lockdown kathmandu metropolitan citi yet complet collect detail poor vulner peopl dire need emerg relief packag . — @ anupojha7
"With the Environment Pollution (Prevention and Control) Authority declaring a public health emergency in the Delhi-NCR region, the state government has ordered the closure of all schools till November 5.  — via Asia News Network",emergency,"with the environment pollution (prevention and control) authority declaring a public health emergency in the delhi-ncr region, the state government has ordered the closure of all schools till november 5.  — via asia news network","environment pollution ( prevention control ) authority declaring public health emergency delhi-ncr region , state government ordered closure schools till november 5 . — via asia news network","environ pollut ( prevent control ) author declar public health emerg delhi-ncr region , state govern order closur school till novemb 5 . — via asia news network"
"A dengue outbreak, which has reached epidemic levels, has exposed how fragile Nepal’s healthcare system is and how ill-equipped the country is when it comes to dealing with any kind of health emergency.  — by @arjunpoudeltkp",emergency,"a dengue outbreak, which has reached epidemic levels, has exposed how fragile nepal’s healthcare system is and how ill-equipped the country is when it comes to dealing with any kind of health emergency.  — by @arjunpoudeltkp","dengue outbreak , reached epidemic levels , exposed fragile nepal ’ healthcare system ill-equipped country comes dealing kind health emergency . — @ arjunpoudeltkp","dengu outbreak , reach epidem level , expos fragil nepal ’ healthcar system ill-equip countri come deal kind health emerg . — @ arjunpoudeltkp"
"Maldives emergency signals changing dimensions of Indian foreign policy vis-a-vis China’s growing regional presence, by Amish Raj Mulmi  ",emergency,"maldives emergency signals changing dimensions of indian foreign policy vis-a-vis china’s growing regional presence, by amish raj mulmi  ","maldives emergency signals changing dimensions indian foreign policy vis-a-vis china ’ growing regional presence , amish raj mulmi","maldiv emerg signal chang dimens indian foreign polici vis-a-vi china ’ grow region presenc , amish raj mulmi"
Dev Committee directs govt to declare Galchhi-Rasuwagadhi road an Emergency Road Corridor  ,emergency,dev committee directs govt to declare galchhi-rasuwagadhi road an emergency road corridor  ,dev committee directs govt declare galchhi-rasuwagadhi road emergency road corridor,dev committe direct govt declar galchhi-rasuwagadhi road emerg road corridor
Dr KC taken to emergency unit after health deteriorates ,emergency,dr kc taken to emergency unit after health deteriorates ,dr kc taken emergency unit health deteriorates,dr kc taken emerg unit health deterior
"Plane crashes in Taiwan during emergency landing, killing 51 people, injuring 7  ",emergency,"plane crashes in taiwan during emergency landing, killing 51 people, injuring 7  ","plane crashes taiwan emergency landing , killing 51 people , injuring 7","plane crash taiwan emerg land , kill 51 peopl , injur 7"
